,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
57,Donald Trump is mentally ill,2017-03-04 15:58:11,1,0,838176780565561344,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}",0.0772894455838,0.0685520093561
58,Descobri que Donald Trump e eu temos algo em comum: os dois passam o dia falando merda no Twitter.,2017-03-04 15:58:11,0,0,838176778183131136,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}",0.0772894455838,0.0685520093561
59,"BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN. Do You Support It?

Hell YES!! http://www.angrypatriotmovement.com/trump-moves-against-pelosi/ …",2017-03-04 15:58:10,0,0,838176775980998656,"{'neg': 0.182, 'neu': 0.553, 'pos': 0.265, 'compound': 0.2771}",0.0772894455838,0.0685520093561
60,"Me:*walks into room*
Dad: ""DONALD TRUMP""",2017-03-04 15:58:09,5,0,838176771073781760,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
61,It Sounds Like Paul Ryan Just Confirmed Donald Trump’s Wiretap Story http://dlvr.it/NXjL9J pic.twitter.com/EXws3ZunTU,2017-03-04 15:58:08,0,0,838176765826617344,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}",0.0772894455838,0.0685520093561
62,It Sounds Like #PaulRyan Just Confirmed #DonaldTrump’s Wiretap Story http://viid.me/qb24OE pic.twitter.com/m8Kc1hgLal,2017-03-04 15:58:06,0,0,838176759841357824,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",0.0772894455838,0.0685520093561
63,Donald Trump has spent almost a third of his days as President in Mar-a-Lago http://www.independent.co.uk/news/world/americas/donald-trump-spent-almost-third-time-office-mar-a-lago-resort-palm-beach-florida-a7611326.html …,2017-03-04 15:58:03,0,0,838176745735933952,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
64,"Donald Trump Wiki, Biography, Net Worth, Wife Contact Details http://www.officeaddresshelplinenumber.com/donald-trump-wiki-biography-net-worth-wife-contact-details/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost …",2017-03-04 15:58:01,0,0,838176739134164992,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2263}",0.0772894455838,0.0685520093561
65,"Photos ‘Prove’ Donald Trump Is Time Traveller John Titor
http://yournewswire.com/donald-trump-john-titor/ …",2017-03-04 15:57:59,0,0,838176731181690881,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
66,"#DonaldTrump , put a tax on monies wired to central and South America by non-citizens or by anyone that can not prove legal residency.",2017-03-04 15:57:58,0,0,838176724454096896,"{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.0951}",0.0772894455838,0.0685520093561
67,"Donald Trump fact check: His claims about NATO, jobs, military, immigration are mostly false http://glbn.ca/pcdHsB pic.twitter.com/iYHinBqlLK",2017-03-04 15:57:54,4,3,838176709421711361,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
68,"Adding Donald Trump, Kellyanne Conway, Mike Pence, and Sean Spicer... this is about to get really funny.",2017-03-04 15:57:50,2,0,838176692900347904,"{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.4927}",0.0772894455838,0.0685520093561
69,I swear all adults over the age of 35 talk about is Donald Trump,2017-03-04 15:57:47,0,0,838176680145469441,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.0516}",0.0772894455838,0.0685520093561
70,Donald Trump Manages Not to Offend Anyone in Pre-Inaugural Address http://dld.bz/f2EWg  #Filmmaking ?,2017-03-04 15:57:47,0,0,838176678966935552,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}",0.0772894455838,0.0685520093561
71,PRESIDENTIAL DUTIES #bkhammoproductions #instagram #chipspice #donaldtrump… https://www.instagram.com/p/BRPEbVOBmNS/ ,2017-03-04 15:57:44,0,0,838176668275494912,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
72, Democrat Leader PAID for Russians to Hack Trump. Media REFUSES to Spread This. http://POTUS.TrumpNewss.com/JbE pic.twitter.com/Rm68b5F7yq,2017-03-04 15:57:40,4,4,838176647547277313,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
73,Blair illegally invades Iraq had Dr David kelly murdered failed as middle east envoy n resigned but now wants to work for Donald trump/fart,2017-03-04 15:57:39,0,0,838176645995462656,"{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.6542}",0.0772894455838,0.0685520093561
74,Donald Trump's first 100 days as president – daily updates http://24newsusa.ml/196 pic.twitter.com/aF9a1ZDE6B,2017-03-04 15:57:39,0,0,838176645223612416,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
75,Dying Author Writes Death Bed Essay Encouraging Women to Date Her Husband After She Dies http://www.breitbart.com/big-journalism/2017/03/04/dying-author-writes-death-bed-essay-encouraging-women-date-husband-after-dies/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/JcgY5rtQx9,2017-03-04 15:57:39,0,0,838176644615417857,"{'neg': 0.183, 'neu': 0.657, 'pos': 0.16, 'compound': -0.128}",0.0772894455838,0.0685520093561
76,Nevada Gov. Brian Sandoval asks President Donald Trump to extend disaster declaration http://dlvr.it/NXjKpB  #vegas #lasvegas #lvrjpic.twitter.com/HWtlOF1E2v,2017-03-04 15:57:39,0,0,838176644523143168,"{'neg': 0.207, 'neu': 0.707, 'pos': 0.086, 'compound': -0.5267}",0.0772894455838,0.0685520093561
77,"Huge YouTuber HARMS Self? iDubbbz, Donald Trump ROASTED by Matthew Santoro",2017-03-04 15:57:39,0,0,838176643583705089,"{'neg': 0.258, 'neu': 0.591, 'pos': 0.151, 'compound': -0.3885}",0.0772894455838,0.0685520093561
78,BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN. Do You Support It? http://POTUS.TrumpNewss.com/JbD pic.twitter.com/s46S0Ri1Iv,2017-03-04 15:57:38,6,2,838176642413404161,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",0.0772894455838,0.0685520093561
79,Donald Trump's first 100 days as president – daily updates http://pencenews.ga/Da8 pic.twitter.com/XkvDdVdWUS,2017-03-04 15:57:38,0,0,838176639427063808,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
80,Donald Trump's first 100 days as president – daily updates http://newstheguartian.cf/Lq pic.twitter.com/HlPjyXegSI,2017-03-04 15:57:38,0,0,838176639288655873,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
81,"""Donald Trump is who we thought he was."" https://twitter.com/washingtonpost/status/838039661452865536 …",2017-03-04 15:57:37,0,0,838176637179023362,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
82,Donald Trump's first 100 days as president – daily updates http://pencenews.cf/ar   see herepic.twitter.com/T3oBOSNJrD,2017-03-04 15:57:37,0,0,838176636126158849,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
83,"Woman, 88, Talks Man Out of Raping Her by Saying She Is HIV-Positive http://www.breitbart.com/big-government/2017/03/04/woman-88-talks-man-out-of-raping-her-by-saying-she-is-hiv-positive/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/WLTYkqILzu",2017-03-04 15:57:34,3,1,838176625778831361,"{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.7003}",0.0772894455838,0.0685520093561
84,#ObamaGate is a stupid trend started by the basket of deplorables to distract us from Donald Trump's corruption. #russiagate #ImpeachTrump,2017-03-04 15:57:32,1,0,838176614244470784,"{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.6808}",0.0772894455838,0.0685520093561
85,@JoyAnnReid I hear Donald Trump is hiring,2017-03-04 15:57:31,0,0,838176612537491457,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
86,Christian Bakers Who ‘Lost Everything’ for Refusing Gay Wedding Cake Appeal Verdict http://www.breitbart.com/big-government/2017/03/04/christian-bakers-lost-everything-refusing-gay-wedding-cake-appeal-verdict/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/GJI3gzA1c5,2017-03-04 15:57:31,2,0,838176609974669312,"{'neg': 0.301, 'neu': 0.602, 'pos': 0.096, 'compound': -0.5267}",0.0772894455838,0.0685520093561
87,"""Some people are calling it a big bang. But I've banged bigger. Sad really."" 
- Donald Trump as a cosmological physicist.",2017-03-04 15:57:26,55,23,838176590987214849,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.4767}",0.0772894455838,0.0685520093561
88,@mattkeeny Donald Trump just tweeted #FakeFight,2017-03-04 15:57:25,0,0,838176588583878656,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
89,"Study: Breitbart Dominated Right Wing Coverage, ‘Altered Media Agenda’ In 2016 http://www.breitbart.com/tech/2017/03/04/study-breitbart-led-right-wing-media-ecosystem-altered-media-agenda/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/L1GpBQezfV",2017-03-04 15:57:24,0,0,838176583118528512,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
90,"June 2016: FISA request. Obama administration files a request with the FISA court to monitor communications involving Donald Trump, WHY",2017-03-04 15:57:21,1,0,838176570770657282,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
