,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
64,64,64,64,64,64,64,64,64,64,64,"""The most outrageous of Donald Trump's bogus employment statistics"" http://www.msnbc.com/rachel-maddow-show/the-most-outrageous-donald-trumps-bogus-employment-statistics … #trumplies",2017-03-01 11:27:34,0,0,837021511273877505,"{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.5095}",0.0667826086957,0.0898
65,65,65,65,65,65,65,65,65,65,65,"""Absolutely, Donald Trump should release his tax returns."" http://www.cnn.com/2017/02/23/politics/matt-gaetz-donald-trump-tax-returns/ …https://twitter.com/mattgaetz/status/836701941543600128 …",2017-03-01 11:18:51,1,0,837019318319710208,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
66,66,66,66,66,66,66,66,66,66,66,"Check out The Economist Magazine, May 7th-13th 2016, Trump's Triumph, Donald Trump https://www.ebay.com/itm/142297816580 … @eBay",2017-03-01 11:16:51,0,0,837018815208771585,"{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.4767}",0.0667826086957,0.0898
67,67,67,67,67,67,67,67,67,67,67,"""Another example of Donald Trump playing into China’s hands"" - maybe he works for China as well as Russia: http://buff.ly/2m9wzyr ",2017-03-01 11:07:49,0,0,837016543565393920,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.4404}",0.0667826086957,0.0898
68,68,68,68,68,68,68,68,68,68,68,BREAKING: Obama Is Joining the Resistance to STOP Donald Trump. Do You Support Him? http://fb.me/6sFgc5P9y ,2017-03-01 11:03:12,0,0,837015379243331585,"{'neg': 0.157, 'neu': 0.698, 'pos': 0.145, 'compound': -0.0601}",0.0667826086957,0.0898
69,69,69,69,69,69,69,69,69,69,69,Donald Trump made 61 statements in his speech. 51 were false. https://www.indy100.com/article/donald-trump-statements-fact-check-congress-address-work-unemployment-latest-checking-7605351 …,2017-03-01 11:01:18,3,4,837014902174859266,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
70,70,70,70,70,70,70,70,70,70,70,Can u imagine telling someone with #Amnesia that #DonaldTrump is the #POTUS http://ow.ly/tmpp309tXyY  This #Boston ER doc has to all the timepic.twitter.com/11ll757ImS,2017-03-01 11:00:31,1,0,837014703876497409,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
71,71,71,71,71,71,71,71,71,71,71,The most outrageous of Donald Trump's bogus employment statistics http://www.msnbc.com/rachel-maddow-show/the-most-outrageous-donald-trumps-bogus-employment-statistics … via @msnbc,2017-03-01 10:58:37,0,0,837014226405363716,"{'neg': 0.23, 'neu': 0.77, 'pos': 0.0, 'compound': -0.5095}",0.0667826086957,0.0898
72,72,72,72,72,72,72,72,72,72,72,"@firstwefeast At a recent congressional meeting, Donald Trump required everyone to drink sweet tea. ""It's the best drink there is.""",2017-03-01 10:57:06,1,0,837013846019690496,"{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.802}",0.0667826086957,0.0898
73,73,73,73,73,73,73,73,73,73,73,my timehop is so sad bc a year ago I thought there was no way donald trump could become president and here we are,2017-03-01 10:56:11,1,0,837013614846480386,"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.7344}",0.0667826086957,0.0898
